,评论
10,需要分类来看。布置很多作业的老师分两种，一种是负责任的，要求严格或者说刻板，眼里容不下沙子，必须一板一眼做好。另一种是不负责任的，布置一大堆根本完不成的作业，不做完到时候成绩不好就是学生的问题，这里的知识点哪个我上课没讲，你们的耳朵上哪儿去了？双减把这两种都减了。家长呢，分成三类。一种是认可传统刻板严厉的教学方式的，虎妈鸡娃的多是这类。第二种是追求开放包容顺其自然的新教育理念，不喜欢严苛刻板的教育。第三种是放任不管，教育是学校的事，别烦我就行。三种分类就像三原色。大部分家长就像五彩缤纷的颜色，三原色都有一点，都不是那么纯粹。如果倾向放任不管，那么双减是最好的，甭管你老师怎么教，反正不用我管了就好。倾向于鸡娃虎妈的，只能什么都靠自己了，对于他们是更大的考验。倾向于更开放包容的教育理念的，仍然需要面对孩子未来的升学压力和自己的新教育理念之间的冲突，双减没解决根本矛盾。
11,99%的家长表示感恩
12,好久没有更新了，但是这一点都不影响班级群里继续保持几乎每天一条通知的操作，甚至不乏各种拍照留痕的打卡要求。今天特别转一条吐吐槽：@所有人 通知：如家长带孩子自行前往社区接种新冠疫苗，需把孩子接种疫苗照片发给老师。谢谢！这个操作我觉得比以往任何通知都要骚气有木有？打针要拍照，大一点的孩子可能好点，可幼儿园的小朋友让家长拍照，谁抓着孩子打针？因为孩子哭闹出了什么意外，谁负责？这可是打疫苗你以为是玩泥巴吗？看到这条通知的第一时间我是真真想在群里骂娘，第二时间就想找投诉渠道了。可又冷静想想，投诉了又怎么样？能动得到上层建筑的饭碗吗？动的只能是老师和学校罢了，可人家才是无辜的啊！继续看戏吧。————————分割线————————继续追更：今天一大早，二宝幼儿园就通知：中国教育电视台一套（CETV1）将于2021年9月25日（本周六）早上7:52播出由著名家庭教育专家孙秀梅主讲的《家庭教育的责任与未来》教育专题节目（时长45分钟），本节目主要内容是指导家长正确处理在教育孩子过程中遇到的问题，请家长提前找到此频道，在家按时收看。收不到此频道的家庭可通过网络搜索“中国教育电视台一套直播”在线收看。本期播出主要内容：一、家庭教育的责任有哪些；二、家长在家庭教育中的角色定位；三、孩子希望父母的角色定位有哪些。请家长朋友们抽出45分钟时间准时观看。然后，好戏上演了，孩子母亲没头没脑地抓着孩子打开了电视机开始拍照上传到群里。我当场差点就要跳起来制造家庭矛盾，然后差点要进群骂脏话，最后我很佩服我自己，我又忍住了！通知怎么写的？请家长朋友们准时收看，关孩子屁毛的事？结果孩子他妈拍完照就去干别的事了。再来看看播放的内容，给孩子看？而且还是给幼儿园孩子看？合适吗？真的，有的家长真的作，一看老师在群里发布通知了，就紧张得不行，赶紧配合，通知内容都没看清楚呢。老师摊上这样的家长，也真是上辈子修来的了。——————再次追更分界线——————一夜之间三千赞真的让我很意外，深受其害的朋友们一起握个爪吧！今天群里果然又发通知了：9月24日下午三点，应急知识进校园，要求家长扫码观看直播。注意时间：9月24日，下午三点，这个时间大部分家长在干什么？我真的超级想在群里骂脏话，但是看到没有家长在群里发表任何的不满，我还是继续忍忍吧。翻看了几乎全部评论，我发现个别那几个对我提出质疑的朋友，其实也包括大部分道友，都忽略了一点：在我看来，双减下真正的弱势群体，是学校、是老师。质疑的朋友，都觉得这些通知也不是多大的事，而且确实有教育意义，花不了家长孩子多少时间，可是可曾考虑过这些事花去了老师们多少时间？花去的这些时间从何而来？此其一。再一个，道友们也提到了，形式主义。这不是红果果的了吗？给孩子做晦涩难懂的艺术测评，提前发答案给孩子背避免当场尴尬，再加上今天要求家长上班时间看直播，种种骚操作质疑的朋友们怎么就假装看不见呢？——————追更分界线——————成效？？要不先来看看新学期至今，班主任都做了什么工作，下面是本月至今班级群公告汇总：通知:今年的《开学第一课》主题为“理想照亮未来”，将于9月1日（今晚）20：00准时播出。请同学们准时观看，并写一篇观后感（纸质版）。收到请回复，谢谢！紧急通知：@所有人，各年级组长，下面转发省教育厅要求组织中小学生、中职学校学生今晚8：20观看预防校园欺凌宣传教育视频的通知，请立即转发给班级群发动家长组织学生观看，并且以班级为单位于明天早上11：00前以接龙方式汇报到年级群，各年级长汇总后于12：00前上报给骨干群。（另：学校要求四至六年级学生每人写一篇观后感，各班主任利用下周一班会时间组织交流）收到请回复。谢谢！[握手][握手][握手][玫瑰][玫瑰][玫瑰]温馨提醒：@所有人五年级下周一下午要进行国防教育，因此，周一校会全体五年级学生一律穿校服（短袖上衣，长裤）。麻烦家长告知孩子！谢谢！温馨提醒：@所有人各位家长，下周一校会咱班全体孩子要参加推广普通话开幕朗诵，电子稿已发至本班群，纸质稿也已发到孩子们手中，请督促孩子将稿子背熟，谢谢！各位家长好！根据教育厅“五项管理”有关工作要求，为进一步了解我省义务教育阶段学生作业、睡眠、手机、读物、体质等方面的工作落实情况，现组织一次面向全省各市县学生的问卷调查。烦请各位家长协助孩子按要求在9月15日前完成填报。谢谢！通知：海口市教育局会同市慈善总会围绕我市＂让爱点燃生命的希望＂活动主题，组织各学校教师和学生参与捐款。捐到的款项，将全部用在我市重伤病的师生身上。参与方式:请班主任转发以下二维码到班级群，邀请学生家长捐款，点击图片长按识别二维码即可进入捐款。鼓励人人参与！捐款不限金额，不限次数。通知:明天（9月10日周五）上午国防教育汇演展示，要求穿大红色短袖班服，长校裤，小白鞋，戴红领巾，请家长们务必孩子提醒穿好衣服鞋子、戴上红领巾到校。切记！通知：下周二有汛涝自救应急知识进校园宣传活动，需要我们班配合活动。活动时间在下周二下午三点，地点三楼多媒体，穿礼服，戴红领巾。届时网络直播，请家长督促孩子把参考答案先熟悉一下，免得活动时出现尴尬场面。谢谢配合！通知：明天早上校会进行推普活动，孩子们要上台朗诵，要求身穿学校礼服，戴红领巾，白布鞋，7：30前到校。请家长们务必提醒孩子穿好服装，按时到校，谢谢！附：请孩子们今天在家熟背稿子。通知：各位家长，晚上好！从本周起，每周四下午第三节课进行课后服务（如遇到当日下午召开教职工例会就暂停），学生参加课后服务属自愿报名。课后服务只是辅导孩子们写作业，不上新课。家长可根据实际情况决定孩子是否要参加，若参加就做好接送孩子的时间准备。谢谢您的配合！温馨提示：应教育局相关文件要求，小学高段学生要积极参与第六届全国学生“学宪法讲宪法”知识竞赛活动，请家长在9月24日前督促孩子登录答题收到请回复，谢谢！ 通知2：@所有人，请家长们帮助孩子注册登录青骄第二课堂禁毒平台完成本学期（每学期2课时）观看视频并完成答题活动（国庆节前完成）。注：学生注册后方可进行学习。请大家抓紧落实！收到请回复，谢谢！通知：亲子乐中秋中秋假期开展“弘扬美德圆中秋”亲子互动活动:1.帮父母做一样家务。2.与家人一起吃月饼。3.与家人一起赏明月。要留有做家务和与家人一起吃月饼、赏明月的照片，感悟举家团圆的幸福。将幸福瞬间拍照留念，发到班群里与同学分享快乐。照片为横版拍照，照片上显示班级姓名。收到请接龙回复，谢谢！根据海南省教育厅与卫健委的文件要求，师生员工不得到国内中高风险区，涉疫区和境外旅行。中秋节原则上不出岛，离岛须经学校批准。请家长朋友们认真阅读以上文件[微笑]尊敬的家长：您好！在各位家长的大力支持下，我校积极落实教育部“双减”和“五项管理”文件精神，现接教育部通知，烦请家长登录以下网址或扫描以下二维码完成调查问卷。感谢您的参与！截止时间为：2021年9月20日晚7点前温馨提示：我校上午第一节课的上课时间为8点50分通知：为落实海南省教育厅中小学心理健康调研工作，了解我校四五六年级学生的心理健康状况。现请四、五、六年级学生完成以下《小学生心理状况调查表》。测试方法：在文档中找到对应的账号密码，扫描下方二维码，点击马上登录进行测试。请各年级各班学生在本周日（9月26日）前完成测试，测试请本人如实填写。通知：明天汛涝自救应急知识进校园宣传活动在多媒体开展，本班孩子们参加活动。要求孩子穿礼服，戴红领巾。届时网络直播，答案参考会发到群里，让孩子先熟悉一下，以便这样活动顺利进行，望家长督促孩子。通知：赓续红色血脉、传承红岛精神-----海口市公安局红岛海岸派出所有幸参评全国枫桥式公安派出所的竞选，请家长们为最可爱人投上一票，感谢您的支持[抱拳][抱拳]——————通知分割线——————看吧，仅仅是九月份，而且这个月还没完，咱们就给孩子们准备了这么多“丰富多彩”的活动，双减的成效杠杠的啊！羡慕吗？
13,现在别说小学一年级，连初三都不布置作业了，别的地方我不知道，杭州这边初三家长是着急的等中考结束，希望这些着急的家长们能满意吧。改革么，总是要有牺牲者的，大家要理解，感恩就好。
14,开学二十多天，观察下来几乎没有什么变化，大概就是晚送晚接，单元测不写具体分数，一周增加了一节体育课，其他没有变化，至少对北京西城四年级来说是这样。其实有些学校一直负担不重，减负的学校一般是之前学的狠的，学的多的。说起来，教育和医疗应该公益化，全民化，廉价化，这是能体现社会主义优越性的，但这两个行业恰恰是比较早商业化的，那是借助民间资本的尝试。还有当年的大学扩招，其实是为了应对金融危机的权宜之计，让几百万年轻人错后四年工作，不挣钱先交钱，减轻社会就业压力。现在的整体形式又发生了变化，就是我们尝试了互联网+试图弯道超车，效果显著，而且已经达成预期，开始第二阶段的实业立国，这时候教育跟着大的国策调整是顺理成章的。其实这个大的方向已经在资本市场提前揭示了，股市确实是晴雨表，认真看看能看出很多东西。
15,任何事情，如果目的就是坏的。。。。老板想你加班。你想好好吃饭。老板给你打了置留针，可以拿营养液直接输到你身体里，然后不妨碍加班了。然后问，你满意那？！丫想让你干活。你想能陪陪孩子。然后丫想了个办法找人给你把孩子带了，让你好好加班。然后问，你满意吗？！我特么真满意！
16,这个问卷调查我也有幸参与了，知道是不记名形式后，我也放心大胆地选了。题目都是一些最基本的问题，比如老师有没有要家长改作业、对课后服务是否满意、作业多不多之类的。我好奇的点是，这动作够快的呀，一个新政策颁布下来，还没有一个月时间就开始收反馈了，看样子有人比我们家长更紧张。或者说是趁着家长没反应过来，赶紧收集一波好看的数据。因为双减后，家长能见孩子真章的就只有期末考试了。要是到时候孩子考得差强人意，再来邀请家长参加问卷调查的话，数据可能就没有这么乐观了。很多人说，在双减政策的实施下，孩子的成绩好坏变成了开盲盒，平时不考试、作业少、家长无需参与，孩子学没学到东西，家长一概不知，只能在期末考试时揭晓答案。这可不就是开盲盒嘛。但我想说，抱有这种想法的家长，或者说网友，也着实有点单纯。你以为说不准考试就不考试啦？说作业不超过一个小时，就真不超过一个小时啦？我问了身边各个地区的不同朋友，大家纷纷表示：考试了、作业也没少。就拿小勋班级举例，我完全没有感觉到作业变少，每门功课都有2—3本练习册，还有背书、默写、预习、复习等等，一个小时想做完，简直是天方夜谭。之前二年级的时候，作业简单，语文书写量也少，今年进入三年级后，语文明显变难，最直接的影响就是写作业时间变长。在课后服务时间能把作业写完？不，开学到现在还没有过，每天回来都要写到八九点。再说考试，小勋班上算考得少的了，才考了一次。我家邻居孩子四年级，每科都考2次了……我们都在说不要孩子军备竞赛，不要家长鸡娃，不要内卷，要减负。现在减负真来了，可问题是，你以为老师不会卷吗？老师也害怕自己带的班不出成绩呀，如果其他老师都在抓学习，就你班上在搞减负，那么考试分数一出来，估计也得挨校长批评吧。所以说，双减政策考验的不止是家长，也有老师。以前的老师是光明正大地卷，美名曰“一切为了孩子”，现在的老师是悄摸摸地卷，他们得想着怎样把握好度，既能让孩子们掌握知识、拓展知识，又能不让真想佛系的家长举报了去。不过这种因为老师抓得严而去举报的家长，还是很少的，在这一点上家长和老师还是达成了一种默契。前几天听一个同学说，孩子班上新换了一个班主任，非常严厉且事多，没事就找家长麻烦。我们建议她直接举报，现在双减抓得这么严，她这种行为肯定会被当做典型案例的。结果人怎么说，我同学讲：还是算了吧，真把事情闹大了，真不让老师布置作业了，家长也头疼。所以这也能理解为什么那份问卷调查只有区区2.5%的家长表示不满意了，因为害怕假如真填个不满意，然后就演化成教育部更大力度地监管老师的教学和作业量的控制，到时候家长可能就真的吓得歇菜了。不过呢，这个不满意里面也许有对双减政策一刀切的形式不满意，当然肯定也有真佛系家长对老师不严格按照双减政策教学的不满意，具体哪种更多就不得而知了。不过从网友的反馈来看，焦虑的家长还是占多数的。昨天在网上看到一个网友说，她老公打电话投诉到教育局，理由是老师不布置作业，家长完全不知道孩子掌握了多少知识，结果这位爸爸被教育局的人在电话里“教育”了很久。看样子，很多地方对双减政策实施得还是蛮彻底的。但在我们这个小地方，目前为止我还没有察觉到双减政策对我们的影响，课后服务一年前就开始了、作业没变少、考试照旧，该有的打卡一样不少。所以我也谈不上焦不焦虑，反正我一直以来采取的措施都是：以不变应万变。前几天我写的一篇“在双减政策下，小学低年级的家长应该怎么给孩子辅导学习”的文章引起了很多家长的共鸣，这也能很好地说明，那份调查数据里的97.5%的家长表示满意，也许真的只是“配合”满意。我们知道只要中考、高考的录取方式没有改变，只要我们还不想让孩子在中考时就早早被分流，那又怎么敢真正减负？当然，也有很多家长表示，把孩子搞得那么累干嘛？有个快乐的童年不好吗？我不知道别家的孩子，只说我自己的，我不觉得每天安排这些学习计划会让孩子失去快乐的童年，那些网友看不到我带孩子周末游玩的场景，更看不到我们亲子阅读的乐趣，所以对于这种断章取义的臆测，我从来不做回答。我们作为家长的，管他军备竞赛还是双减政策，只要按照自己的思路，陪着孩子慢慢摸索出学习的方法，找到学习的方向，就很好。还是那句话：以不变应万变。我不想等孩子长大后来埋怨我：我小时候不懂事，你也不懂事吗？我说不想学习，你就真不管我学习啦？我也不想孩子长大后这样来抱怨自己的原生家庭：从小就被压着学这学那，我父母只知道看成绩，从来不管我过得开不开学，他们爱的不是我，是那个考试考高分的我。我希望孩子长大后回想起学生时代，不后悔，也不埋怨，只是觉得自己在该学习的年龄里，做了该做的事。
17,为各位知友补充更多信息。“‘双减’政策到今天出台正好两个月，97.5%的家长对学校新学期减负提质的各项措施和成效表示满意，其中六成以上家长表示非常满意。”在23日教育部举行的通气会上，教育部基础教育司司长吕玉刚通报了基础教育“双减”工作监测平台的数据。按照要求，小学一、二年级不布置家庭书面作业，三至六年级书面作业平均完成时间不超过60分钟，初中书面作业平均完成时间不超过90分钟。目前，各地学校正在落实作业管理通知要求，制定完善作业管理办法。根据基础教育“双减”工作监测平台直报的信息，截至9月22日，全国有16万所义务教育学校填报了有关信息，其中98.2%的学校出台了作业管理办法，92.1%的学校建立了校内作业公示制度，64.3%的学校绝大部分学生能够在规定时间内完成作业。截至9月22日，全国有10.8万所学校已经填报了课后服务的信息，其中96.3%的学校提供了课后服务；有7743.1万名学生参加了课后服务，学生参加率85%，其中71.2%的学生每周5天全程参加；有534.5万名教师参与课后服务，占这些学校教师总数的86.2%，另聘请了20.6万名校外专业人员参加课后服务工作。“总体看，新学期学校落实‘双减’工作呈现了新变化新面貌，社会反响良好，学生学习回归了校园，回家写作业时间短了，在小区里玩的孩子多了，课余生活更加丰富多彩。”吕玉刚说。教育部校外教育培训监管司负责人透露，目前教育部已牵头建立“双减”工作专门协调机制，指导各地迅速成立校外监管专门机构，建立“双减”工作专项督导半月通报、各地日报制度和专报机制，制定了“双减”工作台账监测指标体系，建立并完善了培训机构监管平台。该负责人透露，目前已经出台了学科类培训范围界定、“备改审”、“营改非”、培训材料管理、培训人员管理、查处变相违规培训、加强收费监管、上市公司清理整治、课后服务、建立监测机制、培训机构登记等11个文件。据了解，“备改审”“营改非”、收费监管等文件，全部提出到今年底完成相关任务，为各地工作留出了操作时间。
18,在23日的教育部新闻通气会上，加强资金监管、严格执行培训收费上限等一系列规范教培机构的组合拳来袭！这波政策一出，家长的底气就有了！不用再担心交了一大笔培训费，出了事维权无门了！不仅如此，课后服务到不到位？家长还被“布置”作业吗？来戳国是直通车，了解一下。
19,正好，我们前不久做采编的时候，和深圳三位家长聊了聊对双减的看法。以下为采访内容，给大家作个参考。1、“万一别的孩子都在偷偷努力”在新学期之前，陆栩（化名）和两个孩子的周末时间，大都围着培训班转。周六，陆栩会侧重于弟弟的辅导班——9点到11点送他上英语课，11点45分到12点半上钢琴课，下午再安排一个小时的溜冰课，哥哥在这天会陪在妈妈身边，看书或者聊天。弟弟溜冰课结束后，陆栩会带着兄弟俩看电影或者吃个饭，如果晚上没安排这些活动，还能给俩孩子挤出1个小时的写字课。周日，陆栩再围绕哥哥的课程转一天。“有时间玩，不代表家长吃得消”，周末培训课停掉以后，陆栩的节奏似乎一下子被打乱了。一周一次短途游，累得够呛不说，对儿子的学业她心里也没了底，最直接的焦虑就是，“这样下去孩子读不了高中怎么办？”双减之后，陆栩最操心的是小儿子的状态。读一年级时，小儿子每天写作业差不多得花两个小时，家长每天该跟进什么，班主任都会在群里逐条叮嘱。每月学校还要开一次家长会，小儿子在课堂上什么情况，陆栩都能掌握得一清二楚。新学期开学后，老师不再布置书面作业，班主任也不会在群里多说什么，陆栩觉得自己成了“瞎子”。尤其前两天，英语老师专门联系陆栩，因为小儿子连续三天没能完成课堂上的单词练习作业，她心更慌了。小区里陆栩熟识的五六个家长，孩子跟小儿子在同所小学同一年级，“人家的课堂练习都能完成”。在陆栩看来，自己算是几位家长中最佛系的，其他人报的培训班都比她多，且双减政策也没有改变辅导孩子的节奏。这个圈子里最厉害的一位小姑娘，妈妈是全职太太，几乎把所有注意力都放在了孩子的学业上。陆栩和别的家长算了一下，小女孩每周要上英语课，跳舞课，小主持人课等8门培训课程，大部分课程每周要上两节，这样算下来，每天三点半放学就得一直赶。“这种情况下，真的有被卷到的感觉，如果没有办法让他跟别人差不多，我会很担忧。毕竟到了哥哥的年纪，一切都该定下来了”。陆栩大儿子读四年级，同班同学中，很多人已经被家长规划好了未来的发展道路，“有的走艺术路线，有的走专业路线，有的走学习路线”。班级里有个孩子，已经拿到了三个游泳冠军，“你觉得这样的孩子，会没有大学读吗？”02、“上不了高中，根本就没有机会读大学”乔盈盈（化名）认为自己焦虑的根源，在于孩子将来有无“做选择”的机会。“不管是走什么样的路，我都希望他有能力去做选择，而不是被动去选择。”乔盈盈担心，在中考之前，孩子的心智还不足于选择未来之路。等他真正思虑成熟，能够做选择的时候，“发现自己读的职高，连读大学的机会都没有，那根本谈不上选择”。现实生活中细微末节的竞争，也时不时地提醒着乔盈盈机会成本的价值。前两天乔盈盈在小区里碰见另一位家长，随口问对方孩子选了哪所小学。家长苦笑着回答“我们没得选”，接着说出附近一所民办学校的名字。乔盈盈大为错愕，她清楚这位邻居很早就买了房。邻居告诉她，早些年对积分入户不够上心，随着入户政策收紧，他们没能赶在孩子入学前成功入户，入学积分排名靠后，失去了进入公立学校的机会。“以前我总觉得，在深圳有房就是最好的，原来这样还不行”，类似的见闻，除了让乔盈盈感慨“生活不易”，也在无形中暗示着她“选择权”的可贵。“如果孩子没有什么学历，有没有特别好的经营头脑，想要更多选择权，还是蛮难的。”03、双减政策来与不来，都不会有太大影响薛小满（化名）的女儿今年刚刚读小学，周末俩人会送孩子去上舞蹈课和画画课，这是从幼儿园时期延续下来的课程。双减政策来与不来，他们都不打算送女儿上太多培训班。在薛小满的教育观念里，好成绩不是靠培训班“鸡”出来的。认真听课，高效学习，养成好习惯和自制力，以及自己能把东西学好的自信心，比上培训班更有说服力。内卷的新闻薛小满也会看，外界环境的压力，她不愿再转嫁到孩子身上。薛小满对自己的教育方式颇有信心，她和先生从小的学习成绩都不差，按照她的这套方法，女儿成绩可能不会特别好，但也不至于太差。当然，信心与她的预期直接相关，“孩子保持个中等偏上，考一个中等偏上的公立高中，读个深大，广州的华农华工就可以了。”她也想象过更低预期的结果，“读个深职院，当时可能会失落一会儿，但也能接受”。“学一门手艺也很好，有一个正当职业养活自己就没问题。甚至说她以后结不结婚，生不生娃，跟男生生还是跟女生生，我都能看开。”她把更大的期待，放在了另一个层面：“我更希望她成长为一个快乐的，人格健全的人，既然这么期望，就不能硬要求她成绩拔尖。”很多家长之所以担心“双减”，是因为害怕自家小孩无法获得优秀的教育资源。但从今年开始，无论是学位房改革、公民同招加摇号，中考指标生到校、还是教育部成立校外培训监管司。都指向一个目标：教育公平。只有教育公平，才能对我们每个人都有利。我是时光君，人称“深圳百晓生”关注我@深圳微时光你的每一个点赞，都是我创作的最大动力：）
20,其实什么调查大都是这个结果吧。
21,闺女公立小学二年级就读，我是那97.5%，但是我对减负政策不满意。最开始海淀这边的小学是3点10分下学，后来因为第一轮政策原因，改成4点20下学了，但是可以跟老师申请，写了情况说明保证孩子的安全等问题，也是可以提交接送孩子。后来，双减政策出来了，原来4点20下课，现在改成5点半了，对于我们家来说，虽然孩子2分钟就能到家，但是学校不让，我们依旧接不了孩子，还得麻烦老人过来。问了孩子，学校还是有作业的，和原来一样，都能在学校完成。课后3点多以后会有两节兴趣课，有的同学去参加社团活动，没有社团活动的有英语，科学等兴趣课，有时候去操场活动。这些兴趣课在第一轮政策的时候已经执行了，不过经常因为一些课程人员太少，改成其他课程。孩子的学而思课程还在上（闺女自己愿意学习，也是我们自找的~），原来有更多的休息时间和吃饭时间，现在被压缩的更加紧张了。这个政策真的有用吗？感觉老师们更累了，对于我家来说家长更着急了，孩子也说没什么变化。身边的孩子还是各种补习班，依旧如火如荼的上着，我闺女上三科这都算少的。说好了严查课外补习班，为什么学而思还能报名呢？收着线下面授的钱上着网课，这种企业咋不管管呢？
