,评论
26,怒答一发，所说全错！王安石变法，大部分都是有利的，怎么会失败呢？
27,我是老师，也是家长。14个班选了2.3个班填写。这是学校交代给老师的，老师交代给家长委员会主席的。难道我们老师有办法吗？
28,填过表的都懂。
29,哪次教育局对学校不是先通知再检查？自欺欺人有意思吗？
30,所以这个满意度的真实性如何呢？别的地方我不知道，我们这里应该所有义务教育学校的班主任都按上级通知，把填表要求及答案模板发到了群里。
31,这一届的家长完全失败，教育孩子也得国家出手。中国的政府真的是群众的爹妈一样，吃喝拉撒睡啥都管。
32,《中国统计学》
33,"我不但是那97.5%的人,我还是那6成的人呢"
34,调查问卷是用微信支付宝调查的吗？如果不是，怎么保证调查覆盖率？
35,我看看有多少和我一样是2.5%
36,教育部校外教育培训监管司负责人23日强调：“双减”工作必须持续用力、久久为功。下一步，教育部将治理打着国际旗号的竞赛；加快校外培训管理条例立法进度，对非学科类机构管理一并纳入；加大对“一对一”“高端家政”“众筹私教”“住家教师”等隐形变异违规行为的查处力度。家长们，躺平就对了~
37,自己派点人到下面的小县城看看，还敢说这话，服了，
38,扯淡也是特长之一
39,最近延退在征集意见。我估计是喜迎。
40,先不谈97.5%，先问问2.5%
41,我感觉今年中考的最惨，原本还能上高中，现在可能高中都上不了。第一批赶上了家长跟孩子都没准备，估计又会出现交钱上“好职高”的怪象。
42,作为老师刚收到今天学校发的上面的调查问卷这里面大部分都不经过家长都是老师填的你懂了吧
43,还是不把人当人看建议再降降
44,如果考核机制不变，单纯双减。那么，就跟互联网企业取消996，但不减KPI一样，当月很爽，到KPI考核的时候，嘿嘿嘿。建议等到明年中考和高考过后，再来问家长满不满意。
45,下回咱们应该到地铁站问问买票情况
46,这个问题应该问老师，问学生。他们才是教育的主体。
47,首先这个数据是怎么来的，把链接层层下发，发给家长，家长手机填写收集上去。
48,萨达姆在推翻前做了民意调查，支持他的是99%。
49,春晚满意度更高
50,我懂，因为我都答了一份及其满意的问卷，问题我还是单身狗一只
51,广电做完调查以后觉着迪迦应该下架！
52,为什么还有2.5这2.5是什么目的为什么要这样做
53,虽然不多还是有比较头铁的…
54,作为2.5%，我出现在知乎上。
55,什么？97.5%？谁统计的？怎么没人来问我？这数据准吗？都没人来问我，那肯定是虚假的数据。什么，我没孩子？好吧，那打扰了。
56,哈哈哈哈哈哈你可以去飞机上问问他们买到票了没
57,这个吗，每个政策调研都是一片好，有2.5是因为不能100%
58,剩余的2.5一定是受境外势力操控了，建议严刑让他们把50万吐出来
59,要分级分类来看
60,不是针对减负，而是好奇作为一个少数派，什么时候能见到经常听说的，那绝大部分的人。
61,双减！减了个啥？学生们更累了……
62,那2.5是50万吗？
63,朋友圈的老师表示很淦！！！
64,剩下的2.5％直接图图了吧
65,先大笑三声，事实是我没有见到卷子，我只能算是那2.5%的。
66,我不怀疑家长满意的占多数，但我怀疑这个97.5%的数字。调查方法是怎样的，是上街随便逮住家长调查，还是当地媒体发起的广泛投票，还是让班主任老师把二维码发家长群，然后和家长说，所有人明天前把这个二维码扫了填好调查问卷，都选满意填好。
67,这就好比，你春节在火车上问乘客买到回家的火车票了吗？
68,想到一个新闻记者采访火车上的人：过年了您买到票了吗？乘客都说买到了
69,公司内部，每个季度都有满意度评价。主要是给自己工作有交集的几个部门之间互相打分，无论私下里怎么不满，如何抱怨，但满意度评价上写的都是基本满意。你品，你细品。记得有一次一个比较调皮的同事想检测一下这个是否真的管用，就如实反应了情况，写了“不满意”。还列举出来几条“罪状”。结果被写的那人去找他评理了，说着说着，火药味越来越浓，俩人差一点就干起来。自那以后，所有领导私下里都给各自组内的人打招呼了。满意度评价要慎重填写，不要像那谁一样冒冒失失。同事抬头不见低头见的，免得尴尬，以后工作也不好开展。后来大家最差也写基本满意，对评价结果也都是满意。其乐融融，一片祥和。
70,太牛了说是虚假报告和强制回答的回答全没了感恩感恩
71,前两天接初二的侄女放学，一个小姑娘，两个书包，满满当当的，我一个大老爷们拿着都嫌沉，然后就跟她聊了写作业的事情。侄女讲了一件事情，说是过段时间有上面检查的，老师告诉他们，要是有检查的问他们什么时候写完作业，要让侄女她们回答晚上八点就能写完。我今天帮着侄女背诵历史，看了一下时间，已经十点多了，昨天检查完的时候快十一点了`````
72,请问在坐的如果是家长有没有参与过这类调查明确表示对减负满意而不是给一个模糊问题给出模糊回答的时候被定性为满意或者直接默认满意甚至曲解为满意知乎不会没家长的吧那如果这里大部分人都没见到过这种调查那到底是知乎用户是有偏样本还是别的呢
73,也不看看调查问卷都是怎么填的
74,97.5%=39/40
75,其他话就不多说了
76,这边建议先看看这是不是实名问卷呢？
77,我想起了是大臣里面关于民调的场面了
78,先不说这玩意可信度有多少减负的主体不是学生吗？你问家长做什么？
79,“我花了1整天时间，采访了1678位人民群众，大家都表示都买到了今年的春运火车票”本台记者张三动车Dxxx报道
80,讲个事，我同学是小学老师，上周让我帮忙填问卷，答案按他给的选，说是教育局任务
81,你们有多少人还记得87.53%这个梗。
82,学校直接发问卷，开会强调重要性，老师不敢说不满意，家长不敢说不满意，97.5%满意都是少的了吧
83,请问“双减”的主体人群是谁？是不是老师和学生那么采访家长有什么意义？？？《我不理解》
84,我看成了负满意
85,还记得在昨天，我们老师告诉我们“当问道是否有同意答案的时候，回答没有”
86,100%的高中生很不满意，尤其是2021高一新生。
87,刚回答就被删除了。那我只能说，好。
88,为什么听到的满意度和统计的相反呢？怎么统计的？是学校统计的还是社会统计的？老师让填满意，敢填不满意么？社会统计的话没有收到相关信息，不满意的话怎么投票呢？本来是每天学了啥老师给留作业家长就知道，考试就知道孩子的掌握程度和排名了，一双减也不留作业了，天天还得追着问老师学啥了
89,应该存在未成年人怀孕或者当家长的情况，虽然是个例但是也应该有2%的比例了吧
90,问卷水分多大没点数吗？哪有一句真话？
91,现在我也差不多明白奥特曼两千多处暴力是怎么统计来的了
92,这还是要点脸的。起码没调查出个100%来。
93,赞同，打击这些培训机构简直是为民除害。
94,反正我们学校的因为双减把月考改成“周反馈”，照样搞排名，两周考完一轮，月考变成半月考，一到周末哀鸿遍野，你说这双减好不好？
95,我小孩就读的小学没收到问卷调查，他们学校数据怎么报的不清楚另外，我知道的，收到问卷调查的学校，是在老师指导下进行填写这就相当于收到个诈骗短信还说我只是二等奖
96,在职初一班主任，教育部的这个调查是手机链接完成的，学校派下来的任务，每个班班主任安排9位家长填写，这9位家长都是被班主任筛选过的，因为如果家长填不满意，会影响学校考评，最后影响到老师年底绩效，所以填写过程，你懂的。
97,今年春晚都有百分之九十六好评率
98,只能说全国有97.5%的人上不起知乎。
99,这个家长群体覆盖的全面吗不会都是体制内的吧
100,班主任关于调查问卷向家长培训过的……
101,这.......https://www.zhihu.com/video/1424763520018128897
102,能不能把学生的满意数据放出来？
103,我们在火车上统计了一下，100%的乘客都买到了票。
104,满意死了，天天群里填表格，复印社都特么认识我了，洗照片的都跟我称兄道弟了，我能不满意吗？
105,2020年春节联欢晚会的调查问卷满意度大概是百分之九十八。
106,标准答案(也许是之一)，懂得都懂。
107,看到个问题下的评论才知道原来是8点半之后上课延长两个小时之后才到5点半啊？？？坐标四线小城区级小学，早上七点四十进校，中午全员午餐午托，下午延时到六点半。已经快被逼疯，快崩溃时候差点去劳动局官网投诉，看到实名登记留单位时候又怂了？有什么渠道可以保障一下合法权益吗？
108,你知道为什么吗学校给的教育局的问卷调查二维码，要按给的标准答案好笑
109,央视记者在春运火车上采访，得出了所有人都买到了火车票的结论此时此刻，恰如彼时彼刻
110,居然还有2.5%的家长不满意，这已经不是普通的家长了，必须要出重拳！
111,我记得当时，禁狗肉的制度下来之后，也是出了个调查结论，大部分人都同意禁止吃狗。这可和我接触的事实差距不小
112,最大的问题是如何解决内卷。
113,和当年标榜减员增效的下岗潮一样，执行起来已经跑偏了。
114,是被满意了吧，老师把调查表和答案一起发群里。哪个家长敢不满意？
115,为什么高中不减负，单休，放个国庆，连读九天，然后七天的假期减到三天……………
116,满意度是我这辈子看到水分最大的数据了。
117,学生减负让家长满意？咋不给工人减负让老板满意捏？
118,我女儿一个学前班大班，一天都要写一页汉子
119,P民2.5是吧
120,都是伞兵的形式主义
121,97.5%我编论文都不敢这么编
122,这个问卷，我们学校发给了标准答案
123,没想到满意率这么高。那我肯定是那2.5%里面的一员。
124,毕竟落实到基层调查问卷都是随着参考答案一起发的
125,前几天朋友群里教师朋友发了个二维码让我们帮忙做问卷，点哪些选项也发了模板就酱我对我朋友没意见，就一小老师还能拧过教育局的大腿？就麻烦以后发文，明确加一句不许弄虚作假（有没有用另说，风气能不能有意识的改改）
126,现在初中学的比我几年前还多减负？
127,如果是真的，就说明我们不满意的家长不用担心孩子没上高中大学机会了
128,家长满意不满意我不知道，反正老师不满意
129,调查问卷在哪里？我TMD又被代表了？
130,被满意了。政策出发点是好的，但身在其中的家长好像没有什么发言权，学校也没有组织家长就文件商讨政策实施后的应对措施。那好吧，应该是学校的问题。
131,很多小学根本没有配套措施，下午四点多下课到六点多的晚托。很多小孩只能在座位玩手指、抠鼻屎、发呆。
132,《中国有言论自由权》
133,不懂就问，97.5是正态分布调查的嘛
134,还是过于保守了，现在什么不都是要求百分之百的吗？
135,他的97.5%满意度调查是从哪里得来的？
136,后悔生娃了。努力挣钱吧。
137,大家知道有些地区，特别是下面的区县，为了让双减的课后辅导数据好看，强制让所有学生都报名。有的山区孩子离家20公里，延时几个小时再回家都几点了？？领导们考不考虑这种问题？我理解国家的政策初心都是好的，但我真的烦各级揣测上意层层加码的官僚作风。你敢对工作说不满意？信不信第二天就来查你家水表。
138,难道我周边的同事都是那2.5%？？？
139,剩下的2.5%是不是同样作为家长的老师呢?狗头保命
140,调查取样是个大学问
141,高校毕业生的就业率还95%以上呢。反正支持双减，没必要卷。
142,老师:你让我打我自己吗？笑死，怎么可能
143,剩下的2.5％是怎么回事，是不是美国搞的鬼？好好查查。
144,周末的补习改成周一到周五，个人感觉更累了
145,毕竟我们要培养搬砖的人的嘛
146,这个数据可以公布吗？
147,双减，学校确实减负了，但是扛不住家长还是卷啊，毕竟谁都不想自己孩子变成分流去职高的百分之五十，没有培训班了，学校也减负了，那就在家卷咯
148,做调查问卷之前，班主任都辅导了一遍家长
149,在网上，你随便说句话都恨不得一堆人出来反驳你。咋线下的意见就这么统一？大家都懂
150,作为初中老师和初三家长的妈妈，我只能表示呵呵
151,97.5还是太低了。我们这儿选书记少一票都是犯错误
